edited,ratid,name,positionx,positiony,size,ending music,zodiac,angry message,tagline,dialogue 1,dialogue 2,dialogue 3,dialogue 4,dialogue 5,final dialogue,round 1 override,round 2 override,round 3 override,round 4 override,round 5 override,rose 1 override,rose 2 override,rose 3 override,rose 4 override,rose 5 override
t,badabing,Badabing,0.287,0.147,medium,intense,Gemini,I am SAD... I'm going to leave the show! There are better things to do with my time! BadaBYE!,WOWwwie!,Wow! Tune in next time to find out what I have in store :),"Thanks for tuning in! WOW, you're looking good! I was just down at the casino and I wasn't doing too hot at the ole’ poker table, those gamblin’ rats were onto my tricks bigtime… but I'm used to losing games, I've always had bad luck, ever since the curse",Do you like my cape? My mom made it for me. I've always wanted to be a hero and my mom knows that better than anyone because she’s MY hero. Every time I put this cape on I try to do at least two good deeds for every bad one,"I heard about this show from my cousin, Boy-Boy-Mysterio. They found love and I said well! If you find it, I'm gonna go find it! Not sure exactly what it looks like or where it is, but after my jazzercise class I called and asked my grandma. I took some notes (they are in my diary)","I'm so DE-lighted to get to know you, and I can't wait for you to get to know my bugs. I keep them in my home but they all have very spacious enclosures and are well fed and I talk to them about my problems. My favorite is Bartholemew the house centipede, we always chat in the mornings while I polish my nose.","I love a loose sock, even If they make me trip. I love you, even though sometimes I trip because I’m distracted by your presence and these feelings... of love… which I’d never felt before. But next to my love for you, I think I might not even like socks. My fortune teller told me that I’d have to find my true love to reverse my bad luck. Now I realize how lucky I am",,,,,,,,,,
t,boingo,Boingo,0.249,0.167,medium-small,intense,Gemini,booooooo! I'm leaving! bye!,"I’m awake, let’s do something fun!","Hey, pleased to make your acquaintance! Gosh, I’m so pumped up, being on this show, meeting new people, YEAHHH – I just wanna do a backflip! But I won’t because my gymnastics instructor says I’m not ready, even though I’ve been training for almost a week","Wow, I feel GREAT today. It’s like every time I wake up, I’m feeling better and better! Ask me about my UberRatte sleep schedule sometime and I’ll tell you my secret haha! Anyway, I went skiing last week for the first time and the instructor said they’d never seen someone use two pairs of skis at once before!","I’m a huuuge fan of cows. The way they just relax and eat grass and go about their lives... Whoowee! I could dream about them alllll day! Before I take a nap I try to find a nearby cow to sleep next so they can enter into my dreams. You know the movie Inception? It’s kinda like that, but reversed","Okay, are you ready? I’m about to tell you the secret to my passion for life: the UberRatte sleep schedule! I sleep in 3.5 hour increments and wake up and do my tasks in 30 minute increments and then I go back to sleep! That means I’m only awake for 3 hours a day but WOW am I ever well-rested and thrilled to be here","If I ever fell asleep near you and you entered my dreams, there would be two of you in there. What I’m trying to say is that you’re ALREADY the rat of my dreams. What I’m trying to say is I love you!!!","I love you so much!!! You’re the coolest, and I know you’ll help me achieve my goals. I can’t wait to help you achieve your goals too. My timer just went off so I’ll have to go to sleep in a minute, but as soon as I’m awake again let’s go swimming!!!",,,,,,,,,,
t,boogaloo,Boogaloo,0.267,0.173,medium-small,funky,Capricorn,"That wasn't funny at all! This show is a circus, and not the good kind. I'm leaving!",HONK,"Honk! What did you think of that honk? It was great, wasn’t it? I’ve mastered the art of honking. Honking is funny because of the spherical shape of the nose attachment and the subsequent sound’s perfect frequency of exactly 152 Hertz — oh sorry, I’m rambling again. All I can say is that I’m at the top of my class in a top-tier clown school.","What’s your life plan? I’ve mapped mine out carefully, down to each day. Years 1-3: Clownegie Melon University. Year 4, I graduate early and do a post-doc in a famous show group in Australia. Year 5, I get married. Year 6, you — oh whoops, I shouldn’t have said that — I mean, whoever my future partner is— and I have 3 baby rats and then we have a perfect family of 5 clowns.","I know clowning has an inconsistent income stream, but I’m very good at low-stakes gambling and fill in the gaps that way. I have a good memory and read books on blackjack in my spare time. It’s one of my goals to be an upstanding citizen, but more than that I want to be honorable in your eyes. I can make sure that we live comfortably and I can make you laugh every day.","I think the reason I’m so good at clowning isn’t natural talent, but rather, I’ve mastered the /science/ of clowning. I studied really hard and persevered. I also have a great persona that I’ve user tested extensively. It’s been my dream since I was little to make people happy, but I wasn’t naturally funny. So I studied and studied.","I love juggling. But It’s important to me that you know I only juggle props, and I would /never/ juggle your heart. I love juggling but I love you even more.",Honk! H-honk! Oh sorry I’m crying from joy a little and it’s making my nose honk! But I’m so happy! I can’t believe it! I’m going to make you the happiest rat alive!,boogaloo-honk.png,,,,,,,,,
t,corge,Corge,0.273,0.378,small,intense,Taurus,"those are the words of a stander... you're not a sitter like me. I don't like you, and I am going to leave this show.","Why hello there, care to get to know eachother better?","If there’s one thing u oughta know about me its that im a sitter. I dont stand for anything, unless it compels me. I also keep my arms crossed, unless I am thusly moved by something profound","I’ll always remember the time my Pa took me aside and he said “Corge, you’ve gotta have a little courage”, and Diggity-doggone if that isn't more true than anything else. So now I have it, kinda helped me unlock my inner psyche, and it helps keep me young. That’s why the glow of youth and confidence are inherent in my energy","The hustle and bustle of city life is a bit new to me, but I think it’s nice, and I like spending time with you here. It provides lots of opportunity for adventure - why, just this morning I met some new rats at the Saloon who i think will serve to be lifelong friends. I never meet new rats when I’m at home, since I’m the only one who lives there","Actually the first time I met you, I said “wow! Now there’s a rat!” and I was right, you really are a rat! One of a kind. I’m glad we met; I know it hasn’t been that long but I feel we’re getting to know each other. Would you mind if I gave you my address so we can write to each other?","You are my dearest friend, my friendliest dear… and I think, that my affections are blossoming into.. love?","My dearest dearest dear. Our love will be of the happy steadfast unwavering sort. I’m incredibly charmed and delighted, excited! I am simply over the moon! Just like the cow in ‘Hey Diddle Diddle'! I am so happy to embark on this journey of love with you",,,,corge-envelopes.png,,,,,,
t,emmory,Emmory,0.284,0.17,medium,romantic_happy,Libra,"Oh my, that's a bit mean. I don't think this is going to work out, so I'm going to take an early exit from the show! Hope that's okay!",Let me play you a tune!,"Oh, hi! I love the melody of your voice, and I’m really excited to get to know you more. Your laugh makes me smile, and not just because it reminds me of a happy song I’ve been wanting to write!","I just had the best muffin from my siblings bakery, their shop is on the way to the symphony so I stop there every day. It’s so fun to watch my siblings follow their passions! One time my older sibling tried out a new type of muffin, Orange Pecan flavored. They weren’t sure it would be good but it was so delicious and now it’s my favorite thing on the menu!","One time the orchestra played my favorite Mozrat piece. My heart almost burst, I couldn’t believe how magical it was hearing all of those instruments working together to create such brilliant sounds. Thanks for listening to me talk about things I love!","Hey, I wrote you a song! It’s inspired by the resonant frequencies of your laughter. I’ve been practicing on my snout flute (snute) which has a special timbre. It’s something I do for special people who mean a lot to me (like you)!","I’ve honestly felt really different since I met you, much lighter and more creative! We could start a band, or a crafting club, or anything really… I love you, and I want to keep exploring this beautiful world with you! Let’s film a music video for the song of joy that my heart plays when you are near!","Oh my love, you chose me, you really did! My heart is fluttering like the delicate melody of the piano keys in a glorious concerto. Let’s build each other up, and never stop dreaming! I can’t wait to live my life with you!",,,,emmory-snute.png,,,,,,
t,flyboi,Flyboi,0.244,0.106,large,romantic_happy,Sagittarius,Your mean-spirited words have grounded me. I'm going to leave.,My spirits are soaring!,"Last night, I woke up and I was ready to start the day! But then I realized it was 4am and I’d woken up early! An accident, but what an opportunity! I immediately ran outside and practiced flapping my arms - I’ve been growing out my hairs so they act more like wings, and I think it’s almost working!","When I woke up as a baby, I thought to myself, wow! I’d really like to push the boundaries of what it means to be a rat. Can I be a bird? Can I be a plane? A hang glider? Whatever happened to the Hindenburg? Let me learn to fly and then I will know","I got so excited to see you today that I accidentally woke up early! again! I woke up at the perfect time though, because the early bird was in my yard! I said hello and asked about how they learned to fly so well. I thought birds knew how to fly as soon as they hatched, but apparently they don’t - they have an instinct and then they practice until they can do it. Just like me!","When I wake up and face my morning routine, one of the first things i do is stretttch!!!! Hands in the air! I stretch them up and down to lengthen them, which helps to not impede the flying process, and makes me more aerodynamic!!!","When I woke up today, I was so excited to see you. Though I was on the ground, my heart was soaring! And when I spoke to my heart, it said ‘hello!’, and it also said that it loves you.","I can’t wait to fly through life with you! We can honeymoon in the most aerodynamic of locations, and we can hang glide, and even tour the runways and the international airport! There is no one I would rather embark on this adventure with. Oh I’m so excited! Let’s start planning right now!!",,,,,,,,,,
,frozine,Frozine,0.32,0.16,small,paris,Virgo,No ice cream for mean rats! Ever! I'm LEAVING.,My craft is my world,"I’m a critically acclaimed ice-cream toppings coordinator. I studied abroad on full scholarship in my ratdolesence. I studied amongst the finest in my field and truly got in touch with my personal, professional, and artistic motivations","When I was abroad, my ice cream artistry class had a large focus on a strong conceptual backing, rather than just focusing on creating a technically perfect cone. With this, the nuance of choice entered my mind - a focus on the why not the how.","I graduated at the top of my class with honors of the highest caliber. More important to me than my academic standing was my self fulfilment in certifiably having mastered my craft. However, my pursuit is lifelong and I know I will continue to learn and perfect /past/ mastery.","One of my favorite moments was drizzling chocolate ganache on a pistachio-pastiche waffle cone, and presenting it to an undercover michelin star reviewer. As soon as they took the first bite, they thanked me and everyone started clapping. I was so overcome I started to openly weep.","As a savant in my field, and a former child prodigy, I have had the comfort of a deeply felt connection to my practice. My identity is enriched by it, and in return my craft is only deepened and nourished by my sense of self. I think that when we dedicate our time and our earnesty towards something that we care about, we are made better by and because of it. I am dedicated to you, and I love you so much","Let me bake us a wedding cake - I’m the only one I trust to make a cake to the required perfection. And you are the only one I trust to eat it. With your good taste and my expert craftsmanship I think we can do anything we want, and I want to spend the rest of my long and promising life by your side.",frozine-1.png,frozine-2.png,frozine-3.png,frozine-4.png,frozine-5.png,,,,,
t,hammerton,Hammerton,0.383,0.074,small,intense,Scorpio,Ew.... yawn.... people like you bore me. I'm going home.,Yawwwwwn,Yawn… was there something interesting you wanted to say?,"Why is it so loud in here? Do they have to play music? I’m trying to take a nap… They have no considerations for the wants and needs of a modern day Machiavelli. I’m smart and sophisticated, but at the end of the day I need sleep like everyone else","Just being honest, the rat of my dreams was in my dreams last night. They said something but I couldn’t understand what they were talking about. Talking talking talking. Exhausting. I’m glad our time together is mostly quiet.","I had a dream about you during my nap, and it made me realize that I should at least try to get to know you… Do you like cheese? I brought some, but it’s my favorite most expensive cheese and honestly well I just don’t know you that well… I’m willing to consider buying a small cheddar from the closest shoppe… Maybe.","I’m sorry I’m always frowning, it’s just my general malaise. Even though you’re a bit boring sometimes, you’re surprisingly tolerable. In fact I think I… actually really enjoy spending time with you. What do you think?","Let’s get out of this dump - I know a much nicer botanical garden over by an nicer and silenter waterfall, after all you know I love the quiet. It also doesn’t have any of that potting mixture stuff, so we won’t have to worry about brushing dirt out of our fur. But I can brush your fur anyways if you want - I brought my boar-bristle hairbrush, imported from Italy.",hammerton-yawn.png,hammerton-nap.png,,hammerton-cheese.png,hammerton-blush.png,,,,,
,manddy,Manddy,0.31,0.093,medium,romantic_sad,Capricorn,.... you make me sad. bye forever..,Antz?,…. Manddy,…. This is Muffy… my ant… they’re the biggest ant in the world…,"…. 
…. … I want Muffy to grow up believing in love… even if it’s hard for me… 
…I know they need a role model, or they won’t know love when they find it for themselves…","Muffy is 100x the size of a regular ant because I… only feed them miracle grow. Sometimes diet soda… after they get a bit bigger, I think.. Muffy will start developing a frontal lobe. I’ve got a philosophy textbook you could read to them…","My neighbor and I have been... working on digging a rat-sized ant-hill. … It started in our backyards then we connected and kept digging east… … maybe west? 
Muffy loves you (mainly your nostrils)… Let’s go smell some dirt together… there are notes of pine and mulch in the grass patch near my home that you’ll love",…….. I’m in love,manddy.gif,manddy.gif,manddy-muffybig.png,manddy-muffybigger.png,manddy-muffybiggest.png,,,,,
t,marsh,Marsh,0.232,0.088,medium,romantic_happy,Aries,:'( .... X-( ..... : ((... bye forever.,Hey Marshins! ,"Uwu :3 ! I’m Marsh, It’s so nice to meet you!! I want you to know I am really thrilled to be here! to meet you and for this opportunity! I actually have a scheduled live vlog I need to jump in on that’s happening in a second *Ringing noise*
Hewwo Marshins! I’m coming in live from The Ratchelor! Don’t forget to like and subscribe, but first, check out this park! :3 Eeeeeeee!","I’m taking a short break from streaming today to focus on you, but let’s take a pic to commemorate! The back camera 0.5 view fisheye effect is SO in right now, can I move closer to you for the selfie? Okay, here we go!! Oh, it’s LOVELY! I’ll treasure it forever! Eeeee!","Time to film my daily livestream!! hey marshins :3 thanks for tuning in!!! I’m on a DATE!!! With a SUPER CUTE RAT omg SQUEee– *static* Oh, what? Oh no. The wifi cut out. Ahhh okay problem solving time. I really gotttta fix this, sorry! I do like this location you picked! Tho! But I’m glad I can spend some time chatting with you while I try to fix it.","The wifi is still out… sorry I’m just so sOOO stressed. Not feeling uwu at all. Usually I’m all :3 but now Im 3: *^* 
It’s just that the Marshins depend on my content. When I don’t post they get really sad. The Marshins mean so much to me, I love them so much and I really want to make them happy. I also don’t want them to worry since they don’t know where I went, and I'm not sure which of them have developed object permanence, tho I'm sure they all miss me regardless!!","Oh, amazing, thank you!!! You are the best!! Thanks for fixing the wifi! 3, 2, 1… hey marshins!!! sorry about the delay! I have big news, I’m in LOVE… SQUEE!!! and look, this is the RAT OF MY LITERAL DREAMS??? anyway let me know where we should get married in the comments!!!",omg!!! AHHHhh!!! I can’t believe! you proposed! this is gonna be the best vlog ever!!! Our wedding! is gonna be ICONIC!! and! I can’t wait! to show you to all the marshins!! and they are gonna just love you as much as I do !!!!!!,,,,,,,,,,
